layer,neuron,activation,dropout,optimizer,learning rate,L1/L2,momentum,r2_error
2,40,relu,0.2,Adam,0.01,0,,0.683920178
2,40,relu,0.2,Adam,0.01,1.00E-05,,0.679162985
2,40,relu,0.2,Adam,0.001,0,,0.703402452
2,40,relu,0.2,Adam,0.001,1.00E-05,,0.707639862
2,40,relu,0.2,Adam,0.0005,0,,0.641200134
2,40,relu,0.2,Adam,0.0005,1.00E-05,,0.666158969
2,40,tanh,0.2,Adam,0.01,0,,0.715179956
2,40,tanh,0.2,Adam,0.01,1.00E-05,,0.410007701
2,40,tanh,0.2,Adam,0.001,0,,0.580474048
2,40,tanh,0.2,Adam,0.001,1.00E-05,,0.632641078
2,40,tanh,0.2,Adam,0.0005,0,,-1.840332994
2,40,tanh,0.2,Adam,0.0005,1.00E-05,,-1.643249953
2,40,relu,0.4,Adam,0.01,0,,0.682644729
2,40,relu,0.4,Adam,0.01,1.00E-05,,0.690344859
2,40,relu,0.4,Adam,0.001,0,,0.661620817
2,40,relu,0.4,Adam,0.001,1.00E-05,,0.682283803
2,40,relu,0.4,Adam,0.0005,0,,0.624456002
2,40,relu,0.4,Adam,0.0005,1.00E-05,,0.587532277
2,40,tanh,0.4,Adam,0.01,0,,0.132136167
2,40,tanh,0.4,Adam,0.01,1.00E-05,,0.283719541
2,40,tanh,0.4,Adam,0.001,0,,0.521899433
2,40,tanh,0.4,Adam,0.001,1.00E-05,,0.529137439
2,40,tanh,0.4,Adam,0.0005,0,,-1.987850019
2,40,tanh,0.4,Adam,0.0005,1.00E-05,,-2.518355549
2,80,relu,0.2,Adam,0.01,0,,0.651346815
2,80,relu,0.2,Adam,0.01,1.00E-05,,0.71713968
2,80,relu,0.2,Adam,0.001,0,,0.692538147
2,80,relu,0.2,Adam,0.001,1.00E-05,,0.688189695
2,80,relu,0.2,Adam,0.0005,0,,0.675533377
2,80,relu,0.2,Adam,0.0005,1.00E-05,,0.681681121
2,80,tanh,0.2,Adam,0.01,0,,0.559050765
2,80,tanh,0.2,Adam,0.01,1.00E-05,,0.718659762
2,80,tanh,0.2,Adam,0.001,0,,-1.337281447
2,80,tanh,0.2,Adam,0.001,1.00E-05,,-0.425131832
2,80,tanh,0.2,Adam,0.0005,0,,-2.96643728
2,80,tanh,0.2,Adam,0.0005,1.00E-05,,-2.761633603
2,80,relu,0.4,Adam,0.01,0,,0.581882478
2,80,relu,0.4,Adam,0.01,1.00E-05,,0.685106917
2,80,relu,0.4,Adam,0.001,0,,0.68147522
